Year,GDP,Annual_Hours,Capital_Stock,log_GDP,log_Capital,log_Labor,log_At,At
1970,62422483054.6667,2077.33082405017,2007557.625,24.85719135279065,14.512429429247865,7.638839090946974,14.812595643438362,2710369.806308086
1971,67351404351.833,2077.08514141114,2125584.5,24.93318959113451,14.56955738134244,7.6387208155304736,14.86867597756985,2866711.114718692
1972,71464700666.9869,2076.56039523651,2246936.25,24.992469467772683,14.625078179603449,7.638468147760539,14.908687808867127,2983739.1159919314
1973,85517673172.5513,2074.82915848103,2356270.75,25.171988895301375,14.67259073650573,7.637634096013075,15.072119975115871,3513488.4950682935
1974,99526597933.6331,2072.36569104491,2469047.5,25.323690761304334,14.71934300670038,7.636446079623567,15.208230757203884,4025786.1124423696
1975,98473832017.3242,2069.95644154487,2572253.5,25.31305668503057,14.760292920913582,7.635282843306067,15.184020314561874,3929490.4327538926
1976,102716451979.68,2067.15999247671,2694518.5,25.355238135595258,14.806730082169937,7.633930959916438,15.210827482890096,4036253.5593100013
1977,121486641441.309,2065.3795315874,2842638.25,25.52307014669729,14.860243140187512,7.633069281043626,15.360490014953303,4687875.322958638
1978,137302319828.995,2064.41778570592,2996300.75,25.645451045637287,14.912889002426253,7.632603521673382,15.464747605700403,5203008.665228903
1979,152995442497.709,2064.22459445134,3141638.25,25.753673970298514,14.960254957496494,7.632509935822669,15.556453276890009,5702716.948607291
1980,186328579302.068,2064.0279137743,3287425.0,25.950777507523316,15.005615141519709,7.632414650625459,15.737742685084871,6836200.720671292
1981,193491368445.573,2063.62297363823,3425594.75,25.988498740904884,15.046785664238147,7.632218442104722,15.761181771053462,6998327.648037592
1982,200715624830.902,2064.15304905272,3573908.0,26.02515494139207,15.08917023290405,7.6324752755251835,15.782836430784283,7151526.803208503
1983,218262146413.158,2065.12047369219,3736218.5,26.10896268378605,15.133584561631395,7.632943844464413,15.850794588313192,7654425.906015059
1984,212157645177.652,2066.7083048097,3893197.5,26.080595444606537,15.17474135738899,7.6337124296506795,15.807522890247448,7330269.869066989
1985,232511554840.372,2068.60763719718,4055480.25,26.172205758977064,15.215579672550954,7.6346310209011055,15.88424270999851,7914782.013622305
1986,248985994040.59,2070.5778181376,4241472.5,26.24066248299612,15.260421054653563,7.635582986504226,15.936386172639626,8338435.548612623
1987,279033584092.223,2072.27054451915,4455748.0,26.35459798461392,15.30970550602778,7.63640016653476,16.032540949256603,9180029.253584767
1988,296589670895.932,2075.07744012271,4668445.0,26.415615441013266,15.356336597750719,7.63775375250947,16.07635769266936,9591210.77374136
1989,296042052944.66,2078.13204233418,4903968.0,26.413767351938365,15.405555231291414,7.639224712630864,16.05632695777631,9401003.132560587
1990,320979026420.035,2078.47948648748,5197479.5,26.494641619686448,15.463684354502583,7.639391889261011,16.11674736759089,9986526.251582265
1991,270105341879.226,2079.30418610839,5432177.5,26.322077874962318,15.507850624417282,7.639788590819662,15.92846757238349,8272667.54964894
1992,288208070278.013,2076.91051998543,5704981.0,26.386948522472352,15.556850210860848,7.638636741573712,15.976937066648144,8683515.938395118
1993,279295648982.529,2075.86927951823,5955224.0,26.355536731482353,15.599779375513297,7.638135274826476,15.930826021415488,8292201.239975651
